Sector,Unit,ReferenceCurrency,CurrencyYear,EmissionYear,PriceType,Flowable,Context,FlowUUID,FlowAmount,BaseIOLevel
511,kg,USD,2013,2013,Basic,Methane,emission/air,aab83476-ec6c-3742-af85-15d320b7ce80,0.0006920839277632534,Summary
511,kg,USD,2013,2013,Basic,Nitrous oxide,emission/air,cfee0524-7ad6-300b-b050-6249135a2492,3.4912635976715988e-06,Summary
513,kg,USD,2013,2013,Basic,Carbon dioxide,emission/air,b6f010fb-a764-3063-af2d-bcb8309a97b7,0.1821297295830423,Summary
513,kg,USD,2013,2013,Basic,Methane,emission/air,aab83476-ec6c-3742-af85-15d320b7ce80,0.0014534211915889059,Summary
513,kg,USD,2013,2013,Basic,Nitrous oxide,emission/air,cfee0524-7ad6-300b-b050-6249135a2492,4.715737546587997e-06,Summary
514,kg,USD,2013,2013,Basic,Carbon dioxide,emission/air,b6f010fb-a764-3063-af2d-bcb8309a97b7,0.17608403420506683,Summary
514,kg,USD,2013,2013,Basic,Methane,emission/air,aab83476-ec6c-3742-af85-15d320b7ce80,0.0010157712709914681,Summary
514,kg,USD,2013,2013,Basic,Nitrous oxide,emission/air,cfee0524-7ad6-300b-b050-6249135a2492,5.315504387122901e-06,Summary
523,kg,USD,2013,2013,Basic,Carbon dioxide,emission/air,b6f010fb-a764-3063-af2d-bcb8309a97b7,0.11961357756713804,Summary
523,kg,USD,2013,2013,Basic,Methane,emission/air,aab83476-ec6c-3742-af85-15d320b7ce80,0.0014621057794740745,Summary
523,kg,USD,2013,2013,Basic,Nitrous oxide,emission/air,cfee0524-7ad6-300b-b050-6249135a2492,3.1452622507173673e-06,Summary
524,kg,USD,2013,2013,Basic,Carbon dioxide,emission/air,b6f010fb-a764-3063-af2d-bcb8309a97b7,0.05549155543859899,Summary
524,kg,USD,2013,2013,Basic,Methane,emission/air,aab83476-ec6c-3742-af85-15d320b7ce80,0.0009087932582394768,Summary
524,kg,USD,2013,2013,Basic,Nitrous oxide,emission/air,cfee0524-7ad6-300b-b050-6249135a2492,1.2472759533279805e-06,Summary
5411,kg,USD,2013,2013,Basic,Carbon dioxide,emission/air,b6f010fb-a764-3063-af2d-bcb8309a97b7,0.15893746970826625,Summary
5411,kg,USD,2013,2013,Basic,Methane,emission/air,aab83476-ec6c-3742-af85-15d320b7ce80,0.0019374850398713272,Summary
5411,kg,USD,2013,2013,Basic,Nitrous oxide,emission/air,cfee0524-7ad6-300b-b050-6249135a2492,3.911407554233671e-06,Summary
5412OP,kg,USD,2013,2013,Basic,Carbon dioxide,emission/air,b6f010fb-a764-3063-af2d-bcb8309a97b7,0.13735194656657831,Summary
5412OP,kg,USD,2013,2013,Basic,Methane,emission/air,aab83476-ec6c-3742-af85-15d320b7ce80,0.0018884477514168319,Summary
5412OP,kg,USD,2013,2013,Basic,Nitrous oxide,emission/air,cfee0524-7ad6-300b-b050-6249135a2492,3.33946661479432e-06,Summary
5415,kg,USD,2013,2013,Basic,Carbon dioxide,emission/air,b6f010fb-a764-3063-af2d-bcb8309a97b7,0.344069509796048,Summary
5415,kg,USD,2013,2013,Basic,Methane,emission/air,aab83476-ec6c-3742-af85-15d320b7ce80,0.001954037548142254,Summary
5415,kg,USD,2013,2013,Basic,Nitrous oxide,emission/air,cfee0524-7ad6-300b-b050-6249135a2492,1.0998347215253487e-05,Summary
561,kg,USD,2013,2013,Basic,Carbon dioxide,emission/air,b6f010fb-a764-3063-af2d-bcb8309a97b7,0.15253027861853902,Summary
561,kg,USD,2013,2013,Basic,Methane,emission/air,aab83476-ec6c-3742-af85-15d320b7ce80,0.0023666477282590663,Summary
561,kg,USD,2013,2013,Basic,Nitrous oxide,emission/air,cfee0524-7ad6-300b-b050-6249135a2492,4.015515968072445e-06,Summary
61,kg,USD,2013,2013,Basic,Carbon dioxide,emission/air,b6f010fb-a764-3063-af2d-bcb8309a97b7,0.15271662170065525,Summary
61,kg,USD,2013,2013,Basic,Methane,emission/air,aab83476-ec6c-3742-af85-15d320b7ce80,0.002723231646793464,Summary
61,kg,USD,2013,2013,Basic,Nitrous oxide,emission/air,cfee0524-7ad6-300b-b050-6249135a2492,3.2978295841263576e-06,Summary
711AS,kg,USD,2013,2013,Basic,Carbon dioxide,emission/air,b6f010fb-a764-3063-af2d-bcb8309a97b7,0.026190312059938433,Summary
711AS,kg,USD,2013,2013,Basic,Methane,emission/air,aab83476-ec6c-3742-af85-15d320b7ce80,0.00025214715953209715,Summary
711AS,kg,USD,2013,2013,Basic,Nitrous oxide,emission/air,cfee0524-7ad6-300b-b050-6249135a2492,8.162916205324726e-07,Summary
81,kg,USD,2013,2013,Basic,Carbon dioxide,emission/air,b6f010fb-a764-3063-af2d-bcb8309a97b7,0.11033948925737908,Summary
81,kg,USD,2013,2013,Basic,Methane,emission/air,aab83476-ec6c-3742-af85-15d320b7ce80,0.0011498142660412837,Summary
81,kg,USD,2013,2013,Basic,Nitrous oxide,emission/air,cfee0524-7ad6-300b-b050-6249135a2492,3.6998664175154623e-06,Summary
GFE,kg,USD,2013,2013,Basic,Carbon dioxide,emission/air,b6f010fb-a764-3063-af2d-bcb8309a97b7,0.07076840807857258,Summary
GFE,kg,USD,2013,2013,Basic,Methane,emission/air,aab83476-ec6c-3742-af85-15d320b7ce80,0.0006153268493198628,Summary
GFE,kg,USD,2013,2013,Basic,Nitrous oxide,emission/air,cfee0524-7ad6-300b-b050-6249135a2492,2.380586555673125e-06,Summary
